ENSG,TPM1,TPM2,TPM3,TPM4,TPM5,TPM6,TPM7,TPM8,TPM9,TPM10,TPM11,TPM12,TPM13,TPM14,TPM15
ENSG00000005175 ,16.504421,1.69767,0.504266,0.368215,0.043796,,,,,,,,,,
ENSG00000005700 ,11.493057,0.375679,0.315816,,,,,,,,,,,,
ENSG00000010244 ,176.724442,4.933671,0.747275,0.605477,0.437416,,,,,,,,,,
ENSG00000023287 ,0.275628,,,,,,,,,,,,,,
ENSG00000023734 ,325.594574,0.099848,0.058763,0.004473,0.002086,,,,,,,,,,
ENSG00000057663 ,10.924294,5.410664,0.721198,0.111693,,,,,,,,,,,
ENSG00000064933 ,7.937173,1.045182,0.864357,0.154953,,,,,,,,,,,
ENSG00000075292 ,30.534567,4.971111,3.36933,2.188087,0.956387,0.581821,0.488797,0.12655,0.087315,0.049757,0.040317,0.028764,0.013796,,
ENSG00000077097 ,62.298508,0.158402,0.084477,,,,,,,,,,,,
ENSG00000077232 ,0.752295,0.209068,0.034453,,,,,,,,,,,,
ENSG00000077254 ,26.878666,0.530625,0.169417,0.164422,0.117321,0.105124,0.051801,0.025167,,,,,,,
ENSG00000078674 ,20.517887,2.875591,0.675457,0.486676,0.45938,0.284103,0.236738,0.069763,0.014568,0.012876,0.012223,0.011605,0.008605,0.005027,0.000476
ENSG00000082898 ,88.552429,2.429455,2.268022,0.774565,0.60697,0.576476,0.412436,0.139944,0.125777,0.121038,0.04866,0.047816,0.013097,,
ENSG00000083544 ,0.448093,,,,,,,,,,,,,,
ENSG00000083937 ,42.208015,0.001392,,,,,,,,,,,,,
ENSG00000087502 ,21.021395,1.482922,0.001028,,,,,,,,,,,,
ENSG00000091140 ,59.472233,0.894338,0.176273,0.167261,0.008034,,,,,,,,,,
ENSG00000092108 ,22.047752,1.470839,0.939783,0.472524,0.408148,0.363513,0.153156,0.136682,0.118027,0.113507,0.015376,,,,
ENSG00000100522 ,35.231537,,,,,,,,,,,,,,
ENSG00000100567 ,121.057243,0.970164,0.765133,0.656871,0.377725,0.163409,0.038704,,,,,,,,
ENSG00000100852 ,12.548257,,,,,,,,,,,,,,
ENSG00000100883 ,56.092964,0.568179,0.410835,0.115261,0.081822,0.003027,,,,,,,,,
ENSG00000104047 ,6.69162,,,,,,,,,,,,,,
ENSG00000104064 ,17.574703,0.927177,0.440716,0.281503,0.015244,,,,,,,,,,
ENSG00000104320 ,20.812143,0.345751,0.279279,0.121702,0.105853,,,,,,,,,,
ENSG00000104343 ,8.939807,0.937441,0.448849,,,,,,,,,,,,
ENSG00000105821 ,55.807991,0.403636,0.240427,0.062501,0.048843,0.03624,0.017824,,,,,,,,
ENSG00000106392 ,0.722072,0.149936,0.121255,0.04462,,,,,,,,,,,
ENSG00000108510 ,6.984317,0.265766,0.087268,0.009131,,,,,,,,,,,
ENSG00000109180 ,74.848083,4.977491,0.340638,0.115207,0.106749,0.062997,0.036393,0.020289,0.019424,0.004763,0.003612,0.001999,0.001818,0.001106,
ENSG00000110958 ,629.024231,0.288399,0.002231,0.001204,,,,,,,,,,,
ENSG00000111142 ,123.799141,0.479639,0.331046,0.192546,,,,,,,,,,,
ENSG00000111605 ,26.375525,0.402187,0.38404,0.001656,,,,,,,,,,,
ENSG00000111647 ,6.256441,0.37732,0.128754,,,,,,,,,,,,
ENSG00000112701 ,1.692165,0.299859,0.225165,0.184444,0.000629,,,,,,,,,,
ENSG00000114354 ,84.309608,29.407286,13.561633,0.127288,0.06981,0.007581,,,,,,,,,
ENSG00000117475 ,18.795212,1.128179,0.450843,,,,,,,,,,,,
ENSG00000118418 ,103.307701,,,,,,,,,,,,,,
ENSG00000120688 ,12.464028,,,,,,,,,,,,,,
ENSG00000120837 ,11.731001,6.647573,1.126862,0.034598,,,,,,,,,,,
ENSG00000122008 ,6.025242,0.221627,0.183071,0.133191,,,,,,,,,,,
ENSG00000122376 ,17.171959,0.261645,,,,,,,,,,,,,
ENSG00000122565 ,173.860153,2.492386,1.407593,0.285012,0.13395,0.028006,0.00057,,,,,,,,
ENSG00000122566 ,1823.622314,3.821461,3.589386,1.249501,0.553315,0.27719,,,,,,,,,
ENSG00000122643 ,10.111443,0.332334,0.029451,0.002662,,,,,,,,,,,
ENSG00000122958 ,88.117783,0.362326,0.012348,,,,,,,,,,,,
ENSG00000123124 ,9.415816,0.089145,0.062498,0.039041,,,,,,,,,,,
ENSG00000125629 ,5.630931,0.122119,,,,,,,,,,,,,
ENSG00000127914 ,0.570951,0.422866,0.178151,0.121073,,,,,,,,,,,
ENSG00000128915 ,9.52453,0.651953,0.457889,0.4436,0.24585,0.119135,0.009729,0.005832,0.002516,,,,,,
ENSG00000129084 ,115.089378,3.961637,2.400707,0.644037,0.259097,0.244425,0.074055,0.061835,,,,,,,
ENSG00000129515 ,39.024536,8.6142,1.107846,0.334047,0.091109,0.000409,,,,,,,,,
ENSG00000135241 ,0.395732,,,,,,,,,,,,,,
ENSG00000136381 ,35.837227,0.181385,0.133959,0.056701,0.035594,0.001668,,,,,,,,,
ENSG00000136536 ,12.843873,0.42233,,,,,,,,,,,,,
ENSG00000137871 ,2.202315,0.344858,0.338396,0.093328,,,,,,,,,,,
ENSG00000138035 ,14.665623,0.091599,,,,,,,,,,,,,
ENSG00000138081 ,8.720907,0.421368,0.238215,0.150725,,,,,,,,,,,
ENSG00000138381 ,42.447273,0.046824,0.021445,,,,,,,,,,,,
ENSG00000138385 ,159.136185,20.426746,0.608354,0.427158,0.196904,0.14183,0.096781,0.063296,0.007978,,,,,,
ENSG00000139218 ,11.160091,0.617469,0.362798,0.190456,0.059083,,,,,,,,,,
ENSG00000139726 ,0.304786,,,,,,,,,,,,,,
ENSG00000140006 ,1.852466,,,,,,,,,,,,,,
ENSG00000142188 ,17.800816,0.305813,0.263213,0.055046,0.023416,,,,,,,,,,
ENSG00000144306 ,8.111851,0.445072,0.229267,0.039309,,,,,,,,,,,
ENSG00000144320 ,0.613033,0.014915,,,,,,,,,,,,,
ENSG00000144566 ,64.174248,0.550391,0.038314,0.025414,,,,,,,,,,,
ENSG00000146085 ,13.925097,,,,,,,,,,,,,,
ENSG00000147274 ,30.436411,10.690828,5.215632,0.21565,0.067239,0.000174,,,,,,,,,
ENSG00000147687 ,31.159687,0.829463,0.087172,0.055006,0.046777,0.02198,0.012306,0.003665,,,,,,,
ENSG00000148690 ,19.841122,0.311812,0.017242,,,,,,,,,,,,
ENSG00000150527 ,4.382806,0.568761,0.039881,0.016491,,,,,,,,,,,
ENSG00000152219 ,14.40842,0.173266,1.00E-06,,,,,,,,,,,,
ENSG00000152942 ,3.704482,0.5221,0.440691,0.249772,0.228018,0.161598,0.133629,0.080423,,,,,,,
ENSG00000153201 ,0.153991,,,,,,,,,,,,,,
ENSG00000156261 ,26.013027,0.372516,0.019521,,,,,,,,,,,,
ENSG00000162613 ,0.48496,0.303043,0.294247,0.243718,0.218219,0.167026,0.077415,,,,,,,,
ENSG00000164163 ,88.348808,0.37455,0.345962,0.230889,0.070021,0.003222,,,,,,,,,
ENSG00000164190 ,8.967467,4.492486,1.535,0.030298,,,,,,,,,,,
ENSG00000165156 ,16.65523,0.219644,,,,,,,,,,,,,
ENSG00000165494 ,7.383183,5.770442,0.045637,0.001339,,,,,,,,,,,
ENSG00000166012 ,16.455275,1.389216,0.40093,0.151724,0.107906,0.061781,0.053471,0.040394,0.03787,0.000943,,,,,
ENSG00000166266 ,10.382985,0.468843,,,,,,,,,,,,,
ENSG00000168116 ,14.33156,,,,,,,,,,,,,,
ENSG00000168175 ,31.618141,,,,,,,,,,,,,,
ENSG00000169139 ,35.900082,0.387844,,,,,,,,,,,,,
ENSG00000169905 ,11.693092,0.296923,0.259473,,,,,,,,,,,,
ENSG00000171681 ,11.139597,0.996271,0.293119,0.001538,0.000407,0.000115,,,,,,,,,
ENSG00000172172 ,0.461481,0.14652,0.054721,0.043737,0.007819,,,,,,,,,,
ENSG00000174405 ,5.87557,1.920982,,,,,,,,,,,,,
ENSG00000174485 ,0.342389,,,,,,,,,,,,,,
ENSG00000175105 ,,,,,,,,,,,,,,,
ENSG00000176018 ,11.125573,,,,,,,,,,,,,,
ENSG00000177683 ,19.467777,1.242109,0.699665,0.342633,0.043929,0.015268,,,,,,,,,
ENSG00000177853 ,2.044564,,,,,,,,,,,,,,
ENSG00000178966 ,7.15173,,,,,,,,,,,,,,
ENSG00000183735 ,19.076241,0.079945,0.039427,0.025753,,,,,,,,,,,
ENSG00000187522 ,50.929661,3.104155,0.282771,,,,,,,,,,,,
ENSG00000196504 ,38.211552,0.333526,0.21554,0.195886,0.142683,0.115266,0.006767,0.000562,,,,,,,
ENSG00000196591 ,46.035194,0.820653,0.404669,0.362227,0.11085,1.00E-06,,,,,,,,,
ENSG00000197008 ,5.064052,,,,,,,,,,,,,,
ENSG00000197780 ,36.723606,,,,,,,,,,,,,,
ENSG00000198015 ,24.853844,0.060335,,,,,,,,,,,,,
ENSG00000198060 ,42.822884,,,,,,,,,,,,,,
ENSG00000198146 ,21.143461,,,,,,,,,,,,,,
ENSG00000198160 ,16.821127,0.475287,0.054107,0.010504,0.008917,0.008409,0.001462,,,,,,,,
ENSG00000214367 ,5.059061,,,,,,,,,,,,,,
ENSG00000221909 ,11.505136,,,,,,,,,,,,,,
ENSG00000244754 ,5.724174,1.190667,0.602651,0.549755,,,,,,,,,,,
ENSG00000263160 ,,,,,,,,,,,,,,,
ENSG00000270757 ,,,,,,,,,,,,,,,
ENSG00000276618 ,,,,,,,,,,,,,,,
ENSG00000283068 ,,,,,,,,,,,,,,,
ENSG00000284024 ,14.380065,,,,,,,,,,,,,,
ENSG00000285253 ,,,,,,,,,,,,,,,
